config_id,p_trade_asian_sweep_in_london,p_trade_asian_sweep_in_ny,p_trade_london_sweep_in_ny,p_trade_pdh_sweep,p_trade_pdl_sweep,p_rr_ratio,p_sl_buffer_pct,p_use_session_sl,p_min_sweep_wick_pct,p_max_sl_points,p_min_sl_points,p_only_first_sweep,p_require_pdl_pdh_confluence,p_confluence_distance_pct,p_no_trade_hours,p_no_trade_friday_after,m_total_trades,m_wins,m_losses,m_win_rate,m_avg_winner_r,m_avg_loser_r,m_expectancy_r,m_profit_factor,m_max_consecutive_wins,m_max_consecutive_losses,m_max_drawdown_r,m_sharpe_ratio,m_total_r,m_avg_trades_per_month,m_calmar_ratio,score
26,True,True,True,False,True,1.5,0.0005,True,0.0005,20.0,3.0,True,False,0.005,[],15,1145,498,647,43.49,5.4979,-0.9956,1.8286,4.2496,7,10,15.1453,0.4112,2093.7936,19.13,138.2467,1.196545
39,True,True,True,False,True,1.5,0.0005,True,0.0005,20.0,3.0,True,False,0.005,[],15,1145,498,647,43.49,5.4979,-0.9956,1.8286,4.2496,7,10,15.1453,0.4112,2093.7936,19.13,138.2467,1.196545
59,True,True,True,True,True,1.5,0.0005,True,0.0005,20.0,3.0,True,False,0.005,[],15,1219,530,689,43.48,5.4399,-0.9959,1.8023,4.2003,9,14,15.116,0.4056,2196.9759,20.36,145.3411,1.196025
40,True,True,True,False,True,1.5,0.0005,True,0.0005,25.0,3.0,True,False,0.005,[],15,1142,496,646,43.43,5.4999,-0.9956,1.8256,4.2406,7,10,15.1453,0.41,2084.7786,19.08,137.6515,1.194905
28,True,True,True,False,True,1.5,0.0005,True,0.0005,20.0,3.0,True,False,0.005,[],21,1263,547,716,43.31,5.4465,-0.9958,1.7944,4.1768,6,12,14.616,0.4043,2266.2728,21.1,155.0537,1.193005
60,True,True,True,False,False,1.5,0.0005,True,0.0005,20.0,3.0,True,False,0.005,[],15,1080,468,612,43.33,5.549,-0.997,1.8396,4.2552,7,9,11.1453,0.4128,1986.7853,18.04,178.2616,1.189255
25,True,True,True,False,True,1.5,0.0005,True,0.0005,20.0,3.0,True,False,0.005,[],18,1232,533,699,43.26,5.3954,-0.9957,1.7693,4.1301,6,12,14.616,0.4013,2179.779,20.58,149.136,1.184145
27,True,True,True,False,True,1.5,0.0005,True,0.0005,20.0,3.0,True,False,0.005,[],18,1232,533,699,43.26,5.3954,-0.9957,1.7693,4.1301,6,12,14.616,0.4013,2179.779,20.58,149.136,1.184145
19,True,True,True,False,True,1.5,0.0005,True,0.0005,20.0,3.0,True,False,0.003,[],18,1234,534,700,43.27,5.378,-0.9957,1.7625,4.1186,6,12,14.616,0.4002,2174.8981,20.61,148.8021,1.18178
21,True,True,True,False,True,1.5,0.0005,False,0.0005,20.0,3.0,True,False,0.003,[],18,1234,534,700,43.27,5.378,-0.9957,1.7625,4.1186,6,12,14.616,0.4002,2174.8981,20.61,148.8021,1.18178
24,True,True,True,False,True,1.5,0.0005,True,0.0005,20.0,3.0,True,False,0.001,[],18,1234,533,701,43.19,5.3536,-0.9957,1.7467,4.0863,6,12,14.616,0.3985,2155.4734,20.61,147.4731,1.17613
57,True,False,True,False,True,1.5,0.0005,True,0.0005,20.0,3.0,True,False,0.005,[],15,1114,477,637,42.82,5.5047,-0.9956,1.7878,4.1397,7,10,18.8353,0.401,1991.5903,18.61,105.7372,1.17606
